hugo_name,hgnc_id,protocol,protocol_specification,date_added,notes
ABCB1,40,,false,2026-03-05,
ABL1,76,,false,2026-03-05,
AKT2,392,,false,2026-03-05,
AKT3,393,,false,2026-03-05,
ALK,427,,false,2026-03-05,
BCL2,990,,false,2026-03-05,
BCOR,20893,,false,2026-03-05,
BRAF,1097,,false,2026-03-05,
BRD4,13575,,false,2026-03-05,
CIC,14214,,false,2026-03-05,
CREBBP,2348,,false,2026-03-05,
CSF1,2432,,false,2026-03-05,
EGFR,3236,,false,2026-03-05,
ERBB2,3430,,false,2026-03-05,
ERG,3446,,false,2026-03-05,
ESR1,3467,,false,2026-03-05,
ETV1,3490,,false,2026-03-05,
ETV4,3493,,false,2026-03-05,
EWSR1,3508,,false,2026-03-05,
FGFR1,3688,,false,2026-03-05,
FGFR2,3689,,false,2026-03-05,
FGFR3,3690,,false,2026-03-05,
FGFR4,3691,,false,2026-03-05,
FOS,3796,,false,2026-03-05,
FOSB,3797,,false,2026-03-05,
FOXR1,29980,,false,2026-03-05,
FOXR2,30469,,false,2026-03-05,
FUS,4010,,false,2026-03-05,
FYN,4037,,false,2026-03-05,
GLI1,4317,,false,2026-03-05,
IRF4,6119,,false,2026-03-05,
JAK2,6192,,false,2026-03-05,
JAZF1,28917,,false,2026-03-05,
KIT,6342,,false,2026-03-05,
KMT2E,18541,,false,2026-03-05,
KRAS,6407,,false,2026-03-05,
LATS1,6514,,false,2026-03-05,
MAML2,16259,,false,2026-03-05,
MAP3K3,6855,,false,2026-03-05,
MAP3K8,6860,,false,2026-03-05,
MET,7029,,false,2026-03-05,
MN1,7180,,false,2026-03-05,
MRTFB,29819,,false,2026-03-05,
MYB,7545,,false,2026-03-05,
MYBL1,7547,,false,2026-03-05,
NAB2,7627,,false,2026-03-05,
NCOA1,7668,,false,2026-03-05,
NCOA2,7669,,false,2026-03-05,
NCOR2,7673,,false,2026-03-05,
NOTCH1,7881,,false,2026-03-05,
NOTCH2,7882,,false,2026-03-05,
NPM1,7910,,false,2026-03-05,
NR4A3,7982,,false,2026-03-05,
NRG1,7997,,false,2026-03-05,
NTRK1,8031,,false,2026-03-05,
NTRK2,8032,,false,2026-03-05,
NTRK3,8033,,false,2026-03-05,
NUTM1,29919,,false,2026-03-05,
PAX3,8617,,false,2026-03-05,
PAX5,8619,,false,2026-03-05,
PAX7,8621,,false,2026-03-05,
PAX8,8622,,false,2026-03-05,
PDGFB,8800,,false,2026-03-05,
PDGFRA,8803,,false,2026-03-05,
PDGFRB,8804,,false,2026-03-05,
PHF1,8919,,false,2026-03-05,
PLAG1,9045,,false,2026-03-05,
PPARG,9236,,false,2026-03-05,
PRKACA,9380,,false,2026-03-05,
PRKCA,9393,,false,2026-03-05,
PTEN,9588,,false,2026-03-05,
RAF1,9829,,false,2026-03-05,
RARA,9864,,false,2026-03-05,
RASGRF1,9875,,false,2026-03-05,
RASGRF2,9876,,false,2026-03-05,
RELA,9955,,false,2026-03-05,
RET,9967,,false,2026-03-05,
ROS1,10261,,false,2026-03-05,
RSPO2,28583,,false,2026-03-05,
RSPO3,20866,,false,2026-03-05,
SMARCA2,11098,,false,2026-03-05,
SS18,11340,,false,2026-03-05,
SSX1,11335,,false,2026-03-05,
SSX2,11336,,false,2026-03-05,
STAT6,11368,,false,2026-03-05,
TAF15,11547,,false,2026-03-05,
TFE3,11752,,false,2026-03-05,
TMPRSS2,11876,,false,2026-03-05,
WWTR1,24042,,false,2026-03-05,
YAP1,16262,,false,2026-03-05,
YWHAE,12851,,false,2026-03-05,
