hugo_name,hgnc_id,protocol,protocol_specification,date_added,notes,behandlings_relevans
ATM,795,true,,2025-06-18,,true
PALB2,26144,true,,2025-06-18,,true
RAD51C,9820,true,,2025-06-18,,true
RAD51D,9823,true,,2025-06-18,,true
APC,583,false,,2025-06-18,,false
ATR,882,true,EIK-1003 ,2025-06-18,,false
AXIN2,904,false,,2025-06-18,,false
BMPR1A,1076,false,,2025-06-18,,false
BRCA1,1100,true,,2025-06-18,,true
BRCA2,1101,true,,2025-06-18,,true
CDK12,24224,true,EIK-1003 ,2025-06-18,,false
DPYD,3012,false,,2025-06-18,Kun 5 specifikke varianter,true
EGFR,3236,false,,2025-06-18,Særligt exon 18-21,true
EGLN1,1232,true,Belzutifan (OUH),2025-06-18,,false
EGLN2,14660,true,Belzutifan (OUH),2025-06-18,,false
ELOC,11617,true,Belzutifan (OUH),2025-06-18,,false
EPAS1,3374,true,Belzutifan (OUH),2025-06-18,,false
EPCAM,11529,false,,2025-06-18,Deletioner (exon 8+9),true
FANCA,3582,true,EIK-1003 ?,2025-06-18,,false
GREM1,2001,false,,2025-06-18,,false
FH,3700,true,Belzutifan (OUH),2025-06-18,,false
MDH2,6971,true,Belzutifan (OUH),2025-06-18,,false
MLH1,7127,false,,2025-06-18,,true
MLH3,7128,false,,2025-06-18,,true
MSH2,7325,false,,2025-06-18,,true
MSH3,7326,false,,2025-06-18,,true
MSH6,7329,false,,2025-06-18,,true
MUTYH,7527,false,,2025-06-18,,false
MRE11,7230,true,EIK-1003 ?,2025-06-18,,false
NBN,7652,true,EIK-1003 ?,2025-06-18,,false
NTHL1,8028,false,,2025-06-18,,false
PMS2,9122,false,,2025-06-18,,true
POLD1,9175,false,,2025-06-18,,true
POLE,9177,false,,2025-06-18,,true
PTEN,9588,false,,2025-06-18,,false
RAD51B,9822,true,,2025-06-18,,false
RET,9967,false,,2025-06-18,,true
RNF43,18505,false,,2025-06-18,,false
SDHA,10680,true,Belzutifan (OUH),2025-06-18,,false
SDHAF2,26034,true,Belzutifan (OUH),2025-06-18,,false
SDHB,10681,true,Belzutifan (OUH),2025-06-18,,false
SDHC,10682,true,Belzutifan (OUH),2025-06-18,,false
SDHD,10683,true,Belzutifan (OUH),2025-06-18,,false
SMAD4,6770,false,,2025-06-18,,false
STK11,11389,false,,2025-06-18,,false
RPS20,10405,false,,2025-06-18,,false
TP53,11998,false,,2025-06-18,,false
VHL,12687,true,Belzutifan (OUH),2025-06-18,,false
BARD1,952,false,,2025-06-18,,false
BRIP1,20476,false,,2025-06-18,,false
CHEK2,16627,false,,2025-06-18,,false
DICER1,17098,false,,2025-06-18,,false
