hugo_name,hgnc_id,protocol,protocol_specification,date_added,notes,behandlings_relevans
ACD,25070,false,,2025-03-06,,false
AKT1,391,false,,2025-03-06,,false
APC,583,false,,2025-03-06,,false
ATM,795,false,,2025-03-06,,false
AXIN2,904,false,,2025-03-06,,false
BAP1,950,false,,2025-03-06,,false
BARD1,952,false,,2025-03-06,,false
BMPR1A,1076,false,,2025-03-06,,false
BRCA1,1100,false,,2025-03-06,,false
BRCA2,1101,false,,2025-03-06,,false
BRIP1,20473,false,,2025-03-06,,false
CDH1,1748,false,,2025-03-06,,false
CDK4,1773,false,,2025-03-06,,false
CDKN2A,1787,false,,2025-03-06,,false
CDKN2B,1788,false,,2025-03-06,,false
CHEK2,16627,false,,2025-03-06,,false
CTNNA1,2509,false,,2025-03-06,,false
DICER1,17098,false,,2025-03-06,,false
DPYD,3012,false,,2025-03-06,,false
EGFR,3236,false,,2025-03-06,,false
EGLN1,1232,false,,2025-03-06,,false
EGLN2,14660,false,,2025-03-06,,false
ELOC,11617,false,,2025-03-06,,false
EPAS1,3374,false,,2025-03-06,,false
EPCAM,11529,false,,2025-03-06,,false
FH,3700,false,,2025-03-06,,false
FLCN,27310,false,,2025-03-06,,false
GREM1,2001,false,,2025-03-06,,false
HOXB13,5112,false,,2025-03-06,,false
MBD4,6919,false,,2025-03-06,,false
MDH2,6971,false,,2025-03-06,,false
MEN1,7010,false,,2025-03-06,,false
MET,7029,false,,2025-03-06,,false
MITF,7105,false,,2025-03-06,,false
MLH1,7127,false,,2025-03-06,,false
MLH3,7128,false,,2025-03-06,,false
MSH2,7325,false,,2025-03-06,,false
MSH3,7326,false,,2025-03-06,,false
MSH6,7329,false,,2025-03-06,,false
MUTYH,7527,false,,2025-03-06,,false
NF1,7765,false,,2025-03-06,,false
NF2,7773,false,,2025-03-06,,false
NTHL1,8028,false,,2025-03-06,,false
PALB2,26144,false,,2025-03-06,,false
PIK3CA,8975,false,,2025-03-06,,false
PMS2,9122,false,,2025-03-06,,false
POLD1,9175,false,,2025-03-06,,false
POLE,9177,false,,2025-03-06,,false
POT1,17284,false,,2025-03-06,,false
PTCH1,9585,false,,2025-03-06,,false
PTCH2,9586,false,,2025-03-06,,false
PTEN,9588,false,,2025-03-06,,false
RAD51C,9820,false,,2025-03-06,,false
RAD51D,9823,false,,2025-03-06,,false
RB1,9884,false,,2025-03-06,,false
RET,9967,false,,2025-03-06,,false
RNF43,18505,false,,2025-03-06,,false
RPS20,10405,false,,2025-03-06,,false
SDHA,10680,false,,2025-03-06,,false
SDHAF2,26034,false,,2025-03-06,,false
SDHB,10681,false,,2025-03-06,,false
SDHC,10682,false,,2025-03-06,,false
SDHD,10683,false,,2025-03-06,,false
SEC23B,10702,false,,2025-03-06,,false
SMAD4,6770,false,,2025-03-06,,false
SMARCA4,11100,false,,2025-03-06,,false
SPRED1,20249,false,,2025-03-06,,false
STK11,11389,false,,2025-03-06,,false
SUFU,16466,false,,2025-03-06,,false
TERF2IP,19246,false,,2025-03-06,,false
TERT,11730,false,,2025-03-06,,false
TP53,11998,false,,2025-03-06,,false
TSC1,12362,false,,2025-03-06,,false
TSC2,12363,false,,2025-03-06,,false
VHL,12687,false,,2025-03-06,,false
WT1,12796,false,,2025-03-06,,false
