hugo_name,hgnc_id,protocol,date_added,notes,behandlings_relevans
ATM,795,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
BRCA1,1100,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
BRCA2,1101,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
MLH1,7127,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
MLH3,7128,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
MSH2,7325,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
MSH3,7326,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
MSH6,7329,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
PALB2,26144,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
PMS2,9122,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
RAD51C,9820,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
RAD51D,9823,?,2020-10-26,behandlingsrelevans skal opdateres: onkologi,true
TP53,11998,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
PMS1,9121,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
TERT,11730,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
ANKRD26,29186,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
CEBPA,1833,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
DDX41,18674,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
ETV6,3495,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
GATA3,4172,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
RUNX1,10471,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
TERC,11727,?,2021-04-07,behandlingsrelevans skal opdateres: hæmatologi,true
